7.95792231126e-206
         7394535 function calls (7386676 primitive calls) in 143.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   193743    0.052    0.000    0.052    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.051    0.051 nonlin.py:110(<module>)
        1    0.002    0.002    0.050    0.050 fontconfig_pattern.py:7(<module>)
        4    0.000    0.000    0.049    0.012 axis.py:1034(draw)
        1    0.006    0.006    0.046    0.046 axes.py:1(<module>)
        9    0.000    0.000    0.045    0.005 getlimits.py:91(__new__)
        2    0.000    0.000    0.045    0.023 getlimits.py:124(_init)
        2    0.000    0.000    0.045    0.023 machar.py:95(__init__)
        2    0.031    0.016    0.045    0.022 machar.py:114(_do_init)
    20005    0.036    0.000    0.044    0.000 defmatrix.py:279(__array_finalize__)
        8    0.000    0.000    0.042    0.005 axis3d.py:127(get_major_ticks)
        1    0.016    0.016    0.042    0.042 subprocess.py:389(<module>)
        1    0.004    0.004    0.041    0.041 pyparsing_py2.py:59(<module>)
        2    0.024    0.012    0.040    0.020 backend_macosx.py:355(__init__)
      559    0.002    0.000    0.040    0.000 markers.py:150(set_marker)
        2    0.000    0.000    0.040    0.020 backend_macosx.py:379(close)
        2    0.000    0.000    0.040    0.020 _pylab_helpers.py:47(destroy)
    62001    0.040    0.000    0.040    0.000 {isinstance}
       46    0.000    0.000    0.040    0.001 font_manager.py:1327(findfont)
       46    0.004    0.000    0.039    0.001 font_manager.py:1143(findfont)
        1    0.000    0.000    0.039    0.039 axes3d.py:824(cla)
        1    0.001    0.001    0.038    0.038 patches.py:3(<module>)
        1    0.001    0.001    0.038    0.038 optimize.py:18(<module>)
        2    0.038    0.019    0.038    0.019 {gc.collect}
        1    0.002    0.002    0.037    0.037 __init__.py:15(<module>)
        2    0.000    0.000    0.037    0.018 mathtext.py:679(__init__)
      305    0.001    0.000    0.034    0.000 markers.py:110(__init__)
    44/42    0.000    0.000    0.034    0.001 pyparsing_py2.py:1058(parseString)
        6    0.002    0.000    0.033    0.006 patches.py:1529(_pprint_styles)
   184144    0.033    0.000    0.033    0.000 pyparsing_py2.py:3293(<lambda>)
      523    0.001    0.000    0.032    0.000 markers.py:135(set_fillstyle)
  1112/42    0.007    0.000    0.032    0.001 pyparsing_py2.py:926(_parseNoCache)
        1    0.000    0.000    0.032    0.032 patches.py:1623(BoxStyle)
   306/42    0.002    0.000    0.032    0.001 pyparsing_py2.py:2406(parseImpl)
    20/16    0.000    0.000    0.031    0.002 axis.py:1808(_get_tick)
        1    0.001    0.001    0.030    0.030 inspect.py:25(<module>)
        3    0.003    0.001    0.030    0.010 __init__.py:6(<module>)
    10001    0.023    0.000    0.030    0.000 linalg.py:127(_to_native_byte_order)
    10914    0.028    0.000    0.028    0.000 {numpy.core.multiarray.zeros}
    10001    0.016    0.000    0.028    0.000 linalg.py:157(_assertSquareness)
        1    0.004    0.004    0.028    0.028 cbook.py:4(<module>)
       22    0.000    0.000    0.028    0.001 backend_agg.py:87(draw_markers)
       22    0.027    0.001    0.027    0.001 {built-in method draw_markers}
   960/40    0.005    0.000    0.027    0.001 pyparsing_py2.py:1011(_parseCache)
        8    0.000    0.000    0.027    0.003 collections.py:223(draw)
      232    0.001    0.000    0.026    0.000 sre_compile.py:178(_compile_charset)
        1    0.001    0.001    0.026    0.026 text.py:3(<module>)
        1    0.024    0.024    0.026    0.026 pickle.py:25(<module>)
        8    0.000    0.000    0.026    0.003 spines.py:153(cla)
    51/49    0.000    0.000    0.025    0.001 axis.py:374(_get_tick1line)
      250    0.002    0.000    0.025    0.000 font_manager.py:643(__init__)
      232    0.011    0.000    0.024    0.000 sre_compile.py:207(_optimize_charset)
        1    0.002    0.002    0.024    0.024 __init__.py:45(<module>)
    51/49    0.000    0.000    0.024    0.000 axis.py:389(_get_tick2line)
        2    0.000    0.000    0.024    0.012 mathtext.py:922(__init__)
        1    0.001    0.001    0.023    0.023 tokenize.py:23(<module>)
       11    0.000    0.000    0.023    0.002 artist.py:1212(kwdoc)
      254    0.000    0.000    0.022    0.000 lines.py:751(set_marker)
       66    0.000    0.000    0.022    0.000 {map}
    20003    0.013    0.000    0.022    0.000 linalg.py:71(isComplexType)
    19996    0.016    0.000    0.022    0.000 linalg.py:84(_realType)
      454    0.002    0.000    0.022    0.000 transforms.py:1613(scale)
        1    0.001    0.001    0.022    0.022 pyplot.py:15(<module>)
    10001    0.018    0.000    0.021    0.000 linalg.py:151(_assertRank2)
       68    0.001    0.000    0.021    0.000 backend_macosx.py:147(get_text_width_height_descent)
      394    0.002    0.000    0.021    0.000 colors.py:318(to_rgba)
        2    0.000    0.000    0.021    0.011 art3d.py:499(draw)
        1    0.000    0.000    0.020    0.020 axes.py:499(_init_axis)
       51    0.001    0.000    0.020    0.000 axis.py:405(_get_gridline)
       19    0.001    0.000    0.020    0.001 colors.py:356(to_rgba_array)
       38    0.000    0.000    0.020    0.001 font_manager.py:884(set_fontconfig_pattern)
       77    0.003    0.000    0.019    0.000 sre_compile.py:361(_compile_info)
30181/30161    0.019    0.000    0.019    0.000 {issubclass}
       38    0.000    0.000    0.019    0.001 font_manager.py:686(_parse_fontconfig_pattern)
       38    0.000    0.000    0.019    0.001 fontconfig_pattern.py:122(parse)
     7834    0.006    0.000    0.019    0.000 sre_parse.py:201(get)
        1    0.003    0.003    0.019    0.019 backend_bases.py:28(<module>)
        5    0.000    0.000    0.019    0.004 axis.py:608(__init__)
        1    0.003    0.003    0.019    0.019 urllib2.py:76(<module>)
        1    0.004    0.004    0.019    0.019 __init__.py:111(<module>)
        2    0.001    0.000    0.019    0.009 {__import__}
81433/80545    0.018    0.000    0.018    0.000 {len}
        1    0.000    0.000    0.018    0.018 __init__.py:14(pylab_setup)
        1    0.017    0.017    0.018    0.018 backend_macosx.py:1(<module>)
        1    0.000    0.000    0.017    0.017 axes3d.py:125(_init_axis)
      218    0.000    0.000    0.017    0.000 lines.py:306(set_fillstyle)
      155    0.004    0.000    0.017    0.000 lines.py:387(recache)
        4    0.000    0.000    0.017    0.004 numeric.py:1346(array_str)
        4    0.000    0.000    0.017    0.004 arrayprint.py:328(array2string)
        4    0.000    0.000    0.017    0.004 arrayprint.py:219(_array2string)
        1    0.002    0.002    0.017    0.017 __init__.py:169(<module>)
        1    0.002    0.002    0.017    0.017 font_manager.py:21(<module>)
       29    0.000    0.000    0.017    0.001 axis.py:1153(_copy_tick_props)
     9116    0.014    0.000    0.016    0.000 sre_parse.py:182(__next)
        5    0.000    0.000    0.016    0.003 collections.py:417(set_facecolor)
        2    0.000    0.000    0.016    0.008 art3d.py:481(set_facecolor)
        2    0.000    0.000    0.016    0.008 backend_macosx.py:451(__init__)
        2    0.000    0.000    0.016    0.008 backend_bases.py:2403(__init__)
        2    0.016    0.008    0.016    0.008 backend_macosx.py:454(_init_toolbar)
        1    0.000    0.000    0.015    0.015 core.py:3506(__str__)
       87    0.001    0.000    0.015    0.000 lines.py:911(update_from)
       11    0.001    0.000    0.015    0.001 artist.py:929(pprint_setters)
        4    0.000    0.000    0.015    0.004 axis.py:982(_get_tick_bboxes)
       20    0.000    0.000    0.015    0.001 text.py:709(get_window_extent)
        1    0.013    0.013    0.014    0.014 result.py:1(<module>)
    107/4    0.002    0.000    0.014    0.004 arrayprint.py:448(_formatArray)
     1933    0.014    0.000    0.014    0.000 {method 'all' of 'numpy.ndarray' objects}
    20002    0.014    0.000    0.014    0.000 {scipy.special._cephes.errprint}
   236/16    0.001    0.000    0.014    0.001 pyparsing_py2.py:2679(parseImpl)
       22    0.001    0.000    0.014    0.001 patches.py:371(draw)
  296/252    0.001    0.000    0.014    0.000 spines.py:372(get_spine_transform)
        1    0.004    0.004    0.014    0.014 shutil.py:5(<module>)
    82/78    0.000    0.000    0.014    0.000 pyparsing_py2.py:2791(parseImpl)
      288    0.001    0.000    0.014    0.000 transforms.py:1936(transform_path_non_affine)
       34    0.001    0.000    0.014    0.000 backend_agg.py:142(draw_text)
      270    0.011    0.000    0.014    0.000 function_base.py:3160(add_newdoc)
    50/20    0.001    0.000    0.013    0.001 pyparsing_py2.py:2531(parseImpl)
        1    0.001    0.001    0.013    0.013 scale.py:1(<module>)
        1    0.001    0.001    0.013    0.013 csr.py:1(<module>)
  308/252    0.000    0.000    0.013    0.000 spines.py:136(_ensure_position_is_set)
 1549/319    0.011    0.000    0.013    0.000 sre_parse.py:140(getwidth)
      288    0.001    0.000    0.013    0.000 transforms.py:1132(transform_path)
       67    0.001    0.000    0.013    0.000 artist.py:467(set_clip_path)
       12    0.000    0.000    0.013    0.001 spines.py:325(set_position)
    84/82    0.000    0.000    0.012    0.000 pyparsing_py2.py:2876(parseImpl)
        4    0.000    0.000    0.012    0.003 spines.py:142(register_axis)
        1    0.000    0.000    0.012    0.012 font_manager.py:927(pickle_load)
        1    0.012    0.012    0.012    0.012 {cPickle.load}
     2648    0.008    0.000    0.012    0.000 transforms.py:81(__init__)
        1    0.004    0.004    0.012    0.012 httplib.py:67(<module>)
       30    0.000    0.000    0.012    0.000 axis.py:167(set_clip_path)
        1    0.002    0.002    0.012    0.012 ticker.py:124(<module>)
    50903    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
      6/4    0.000    0.000    0.012    0.003 pyparsing_py2.py:2826(parseImpl)
     8651    0.007    0.000    0.012    0.000 sre_parse.py:130(__getitem__)
        3    0.000    0.000    0.011    0.004 axis3d.py:68(__init__)
     2040    0.002    0.000    0.011    0.000 fromnumeric.py:1508(any)
        6    0.000    0.000    0.011    0.002 art3d.py:191(draw)
        8    0.000    0.000    0.011    0.001 collections.py:182(_prepare_points)
      412    0.006    0.000    0.011    0.000 arrayprint.py:582(__call__)
    10894    0.011    0.000    0.011    0.000 __init__.py:676(__getitem__)
    20/18    0.000    0.000    0.011    0.001 axis.py:525(_get_tick2line)
    20/18    0.000    0.000    0.011    0.001 axis.py:509(_get_tick1line)
       86    0.001    0.000    0.011    0.000 transforms.py:2228(_revalidate)
      549    0.004    0.000    0.010    0.000 transforms.py:100(invalidate)
     2058    0.003    0.000    0.010    0.000 transforms.py:1322(__init__)
      699    0.010    0.000    0.010    0.000 {zip}
        1    0.001    0.001    0.010    0.010 collections.py:10(<module>)
      192    0.009    0.000    0.010    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      100    0.001    0.000    0.010    0.000 backend_agg.py:216(_get_agg_font)
        6    0.010    0.002    0.010    0.002 {imp.load_module}
        1    0.004    0.004    0.010    0.010 collections.py:1(<module>)
       11    0.008    0.001    0.010    0.001 collections.py:237(namedtuple)
        1    0.001    0.001    0.010    0.010 decimal.py:116(<module>)
     2048    0.009    0.000    0.009    0.000 {method 'any' of 'numpy.ndarray' objects}
      150    0.001    0.000    0.009    0.000 markers.py:586(_set_tickup)
        1    0.009    0.009    0.009    0.009 __init__.py:84(<module>)
        1    0.008    0.008    0.009    0.009 npyio.py:836(savetxt)
    11276    0.009    0.000    0.009    0.000 {max}
        9    0.000    0.000    0.009    0.001 pyparsing_py2.py:1685(__init__)
       14    0.000    0.000    0.009    0.001 artist.py:788(__init__)
        2    0.000    0.000    0.009    0.004 mathtext.py:2323(parse)
      150    0.001    0.000    0.009    0.000 markers.py:592(_set_tickdown)
        1    0.000    0.000    0.009    0.009 decomp_schur.py:1(<module>)
       14    0.004    0.000    0.009    0.001 artist.py:805(get_aliases)
        1    0.003    0.003    0.008    0.008 textpath.py:3(<module>)
        4    0.000    0.000    0.008    0.002 backend_agg.py:90(draw_path_collection)
        4    0.008    0.002    0.008    0.002 {built-in method draw_path_collection}
       73    0.000    0.000    0.008    0.000 lines.py:650(get_path)
        1    0.004    0.004    0.008    0.008 numeric.py:1(<module>)
        1    0.003    0.003    0.008    0.008 __init__.py:521(<module>)
        2    0.008    0.004    0.008    0.004 {matplotlib.backends._macosx.verify_main_display}
      573    0.002    0.000    0.008    0.000 transforms.py:1455(__init__)
        1    0.000    0.000    0.008    0.008 axes3d.py:380(auto_scale_xyz)
2592/2334    0.001    0.000    0.008    0.000 {hash}
      180    0.000    0.000    0.008    0.000 proj3d.py:189(proj_transform)
       20    0.000    0.000    0.008    0.000 axis.py:540(_get_gridline)
        1    0.002    0.002    0.008    0.008 artist.py:1(<module>)
  467/235    0.000    0.000    0.008    0.000 axes.py:566(get_xaxis_transform)
       44    0.000    0.000    0.008    0.000 transforms.py:2238(get_transformed_points_and_affine)
       89    0.000    0.000    0.008    0.000 patches.py:162(get_transform)
        2    0.000    0.000    0.007    0.004 mathtext.py:2402(math_string)
        1    0.002    0.002    0.007    0.007 index_tricks.py:1(<module>)
        1    0.002    0.002    0.007    0.007 dates.py:109(<module>)
      258    0.002    0.000    0.007    0.000 font_manager.py:689(__hash__)
    23396    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
        1    0.006    0.006    0.007    0.007 sre_compile.py:301(_optimize_unicode)
       51    0.001    0.000    0.007    0.000 axis.py:338(_get_text1)
      148    0.000    0.000    0.007    0.000 transforms.py:738(from_bounds)
      155    0.001    0.000    0.007    0.000 transforms.py:748(from_extents)
       34    0.007    0.000    0.007    0.000 {built-in method draw_text_image}
        6    0.000    0.000    0.007    0.001 axis3d.py:179(draw_pane)
      256    0.002    0.000    0.007    0.000 transforms.py:703(__init__)
        4    0.000    0.000    0.007    0.002 backend_macosx.py:61(draw_path_collection)
        1    0.001    0.001    0.007    0.007 lines.py:4(<module>)
        4    0.007    0.002    0.007    0.002 {method 'draw_path_collection' of '_macosx.GraphicsContext' objects}
        1    0.005    0.005    0.007    0.007 polynomial.py:48(<module>)
        1    0.002    0.002    0.007    0.007 tempfile.py:18(<module>)
   184/80    0.000    0.000    0.007    0.000 axes.py:643(get_yaxis_transform)
     1030    0.002    0.000    0.007    0.000 transforms.py:1411(transform)
       11    0.003    0.000    0.007    0.001 artist.py:857(_get_setters_and_targets)
        2    0.000    0.000    0.007    0.003 pyparsing_py2.py:3391(srange)
        1    0.005    0.005    0.007    0.007 hermite.py:50(<module>)
      394    0.002    0.000    0.006    0.000 artist.py:830(get_valid_values)
      793    0.006    0.000    0.006    0.000 {numpy.core.multiarray.concatenate}
        6    0.000    0.000    0.006    0.001 figure.py:295(_set_dpi)
       32    0.000    0.000    0.006    0.000 backend_agg.py:104(draw_path)
       32    0.005    0.000    0.006    0.000 {built-in method draw_path}
        3    0.000    0.000    0.006    0.002 axis3d.py:96(init3d)
       51    0.001    0.000    0.006    0.000 axis.py:357(_get_text2)
        6    0.000    0.000    0.006    0.001 string.py:148(substitute)
      100    0.006    0.000    0.006    0.000 {method 'set_text' of 'FT2Font' objects}
      167    0.001    0.000    0.006    0.000 cbook.py:1013(dedent)
        1    0.004    0.004    0.006    0.006 chebyshev.py:78(<module>)
      832    0.006    0.000    0.006    0.000 {numpy.core._dotblas.dot}
        1    0.004    0.004    0.006    0.006 heapq.py:31(<module>)
    15426    0.006    0.000    0.006    0.000 {min}
        1    0.004    0.004    0.006    0.006 laguerre.py:50(<module>)
        1    0.003    0.003    0.005    0.005 case.py:1(<module>)
        1    0.004    0.004    0.005    0.005 legendre.py:51(<module>)
      180    0.001    0.000    0.005    0.000 proj3d.py:179(vec_pad_ones)
       32    0.000    0.000    0.005    0.000 backend_macosx.py:49(draw_path)
        1    0.000    0.000    0.005    0.005 pyparsing_py2.py:3501(makeHTMLTags)
        1    0.000    0.000    0.005    0.005 pyparsing_py2.py:3472(_makeTags)
      159    0.000    0.000    0.005    0.000 docstring.py:86(dedent)
        1    0.005    0.005    0.005    0.005 mathtext.py:19(<module>)
        1    0.001    0.001    0.005    0.005 cm.py:6(<module>)
        1    0.004    0.004    0.005    0.005 hermite_e.py:50(<module>)
        1    0.001    0.001    0.005    0.005 __init__.py:74(<module>)
       32    0.005    0.000    0.005    0.000 {method 'draw_path' of '_macosx.GraphicsContext' objects}
       75    0.000    0.000    0.005    0.000 patches.py:546(get_patch_transform)
       34    0.000    0.000    0.005    0.000 backend_macosx.py:136(draw_text)
       75    0.001    0.000    0.005    0.000 patches.py:533(_update_patch_transform)
        2    0.000    0.000    0.005    0.003 axes.py:3745(plot)
      858    0.002    0.000    0.005    0.000 numeric.py:2019(seterr)
        1    0.002    0.002    0.005    0.005 __init__.py:38(<module>)
        6    0.000    0.000    0.005    0.001 art3d.py:176(do_3d_projection)
  136/128    0.001    0.000    0.005    0.000 transforms.py:1730(transform)
        1    0.000    0.000    0.005    0.005 fontconfig_pattern.py:74(__init__)
       87    0.000    0.000    0.005    0.000 docstring.py:103(dedent_interpd)
       84    0.000    0.000    0.005    0.000 transforms.py:1120(transform_point)
      237    0.000    0.000    0.005    0.000 transforms.py:1046(__add__)
     1440    0.003    0.000    0.005    0.000 cbook.py:428(is_string_like)
     1963    0.003    0.000    0.005    0.000 {method 'extend' of 'list' objects}
        1    0.001    0.001    0.005    0.005 basic.py:5(<module>)
       88    0.001    0.000    0.005    0.000 text.py:678(get_prop_tup)
        1    0.000    0.000    0.005    0.005 art3d.py:345(__init__)
        1    0.000    0.000    0.005    0.005 collections.py:618(__init__)
        1    0.001    0.001    0.005    0.005 ctypeslib.py:51(<module>)
    11505    0.005    0.000    0.005    0.000 {abs}
       67    0.004    0.000    0.004    0.000 {method 'get_text_width_height_descent' of '_macosx.GraphicsContext' objects}
     5647    0.003    0.000    0.004    0.000 sre_parse.py:138(append)
        1    0.000    0.000    0.004    0.004 art3d.py:412(set_verts)
       68    0.000    0.000    0.004    0.000 transforms.py:1568(rotate_deg)
        2    0.002    0.001    0.004    0.002 function_base.py:1(<module>)
      154    0.001    0.000    0.004    0.000 text.py:150(__init__)
     3243    0.002    0.000    0.004    0.000 core.py:5639(isMaskedArray)
     2685    0.004    0.000    0.004    0.000 weakref.py:243(__init__)
        1    0.000    0.000    0.004    0.004 art3d.py:390(get_vector)
