29
         562568 function calls (559153 primitive calls) in 10.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.018    0.002 axis.py:224(draw)
        1    0.000    0.000    0.017    0.017 util.py:16(get_platform)
        1    0.001    0.001    0.017    0.017 pyplot.py:15(<module>)
        3    0.000    0.000    0.016    0.005 sysconfig.py:497(get_config_vars)
        1    0.000    0.000    0.016    0.016 sysconfig.py:397(_init_posix)
    20182    0.016    0.000    0.016    0.000 {isinstance}
        4    0.000    0.000    0.015    0.004 subprocess.py:475(_eintr_retry_call)
        1    0.001    0.001    0.015    0.015 text.py:3(<module>)
        4    0.015    0.004    0.015    0.004 {posix.read}
        1    0.002    0.002    0.014    0.014 urllib2.py:76(<module>)
  168/128    0.001    0.000    0.014    0.000 spines.py:372(get_spine_transform)
        1    0.000    0.000    0.014    0.014 __init__.py:14(pylab_setup)
        1    0.014    0.014    0.014    0.014 backend_macosx.py:1(<module>)
      121    0.000    0.000    0.014    0.000 lines.py:751(set_marker)
  176/128    0.000    0.000    0.014    0.000 spines.py:136(_ensure_position_is_set)
        8    0.000    0.000    0.014    0.002 spines.py:325(set_position)
      284    0.001    0.000    0.014    0.000 sre_compile.py:178(_compile_charset)
    20/18    0.000    0.000    0.013    0.001 axis.py:515(_get_tick1line)
       34    0.000    0.000    0.013    0.000 pkg_resources.py:438(add_entry)
    20/18    0.000    0.000    0.013    0.001 axis.py:531(_get_tick2line)
       21    0.001    0.000    0.013    0.001 lines.py:464(draw)
       11    0.001    0.000    0.013    0.001 artist.py:929(pprint_setters)
    20/18    0.000    0.000    0.013    0.001 axis.py:377(_get_tick1line)
       15    0.001    0.000    0.013    0.001 text.py:510(draw)
        1    0.002    0.002    0.012    0.012 font_manager.py:21(<module>)
      226    0.001    0.000    0.012    0.000 transforms.py:1616(scale)
    20/18    0.000    0.000    0.012    0.001 axis.py:392(_get_tick2line)
    10368    0.012    0.000    0.012    0.000 {range}
      284    0.008    0.000    0.012    0.000 sre_compile.py:207(_optimize_charset)
        1    0.012    0.012    0.012    0.012 {matplotlib.backends._macosx.verify_main_display}
        1    0.001    0.001    0.012    0.012 pkg_resources.py:218(_macosx_vers)
      121    0.000    0.000    0.012    0.000 lines.py:306(set_fillstyle)
        1    0.003    0.003    0.011    0.011 sysconfig.py:287(parse_makefile)
       23    0.002    0.000    0.011    0.000 text.py:260(_get_layout)
        1    0.000    0.000    0.011    0.011 backend_macosx.py:452(__init__)
        1    0.000    0.000    0.011    0.011 backend_bases.py:2448(__init__)
        1    0.001    0.001    0.011    0.011 scale.py:1(<module>)
       68    0.002    0.000    0.011    0.000 pkg_resources.py:1733(find_on_path)
        1    0.011    0.011    0.011    0.011 backend_macosx.py:455(_init_toolbar)
        1    0.002    0.002    0.010    0.010 collections.py:10(<module>)
     1378    0.002    0.000    0.010    0.000 numeric.py:252(asarray)
        1    0.001    0.001    0.010    0.010 ticker.py:124(<module>)
        1    0.001    0.001    0.010    0.010 backend_bases.py:28(<module>)
       20    0.000    0.000    0.009    0.000 axis.py:546(_get_gridline)
        2    0.000    0.000    0.009    0.005 axis.py:988(_get_tick_bboxes)
        3    0.002    0.001    0.009    0.003 __init__.py:6(<module>)
       10    0.000    0.000    0.009    0.001 text.py:709(get_window_extent)
        1    0.003    0.003    0.009    0.009 httplib.py:67(<module>)
        2    0.000    0.000    0.009    0.004 axis.py:614(__init__)
      216    0.008    0.000    0.009    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       20    0.000    0.000    0.008    0.000 axis.py:408(_get_gridline)
        1    0.001    0.001    0.008    0.008 decimal.py:116(<module>)
        1    0.000    0.000    0.008    0.008 font_manager.py:927(pickle_load)
      689    0.001    0.000    0.008    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.008    0.008    0.008    0.008 {cPickle.load}
        1    0.008    0.008    0.008    0.008 __init__.py:88(<module>)
        1    0.000    0.000    0.008    0.008 pkg_resources.py:424(__init__)
        1    0.000    0.000    0.008    0.008 axes.py:7440(contour)
        1    0.000    0.000    0.008    0.008 contour.py:1227(__init__)
        1    0.000    0.000    0.008    0.008 contour.py:687(__init__)
    60/52    0.001    0.000    0.008    0.000 posixpath.py:355(realpath)
        1    0.002    0.002    0.008    0.008 __init__.py:284(<module>)
     3626    0.002    0.000    0.008    0.000 sre_parse.py:201(get)
       14    0.000    0.000    0.008    0.001 pyparsing_py2.py:1809(__init__)
      271    0.006    0.000    0.008    0.000 function_base.py:3216(add_newdoc)
       87    0.001    0.000    0.008    0.000 sre_compile.py:361(_compile_info)
      689    0.001    0.000    0.008    0.000 _methods.py:28(_all)
      452    0.005    0.000    0.007    0.000 text_file.py:161(readline)
       29    0.001    0.000    0.007    0.000 common.py:63(factorial)
       11    0.006    0.001    0.007    0.001 collections.py:237(namedtuple)
   184/80    0.000    0.000    0.007    0.000 axes.py:566(get_xaxis_transform)
   184/80    0.000    0.000    0.007    0.000 axes.py:643(get_yaxis_transform)
