         2758605 function calls (2750831 primitive calls) in 27.074 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:200(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        4    0.000    0.000    0.000    0.000 __init__.py:21(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:216(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:220(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:229(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
      212    0.000    0.000    0.000    0.000 __init__.py:244(report)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        3    0.000    0.000    0.000    0.000 __init__.py:255(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
     16/8    0.000    0.000    0.003    0.000 __init__.py:265(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:27(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:275(c_wchar_p)
      212    0.000    0.000    0.000    0.000 __init__.py:276(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:278(c_wchar)
        1    0.001    0.001    0.004    0.004 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:320(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:364(checkdep_ps_distiller)
        1    0.001    0.001    0.002    0.002 __init__.py:37(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PyDLL)
        1    0.002    0.002    0.007    0.007 __init__.py:38(<module>)
        1    0.003    0.003    0.003    0.003 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:400(checkdep_usetex)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:44(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:441(_get_home)
        1    0.003    0.003    0.016    0.016 __init__.py:45(<module>)
        4    0.000    0.000    0.002    0.001 __init__.py:468(_get_configdir)
        3    0.000    0.000    0.000    0.000 __init__.py:483(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:484(CFunctionType)
        4    0.000    0.000    0.000    0.000 __init__.py:49(get_projection_class)
       21    0.000    0.000    0.000    0.000 __init__.py:5(<lambda>)
