29
         229690 function calls (226275 primitive calls) in 1.378 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   184/80    0.000    0.000    0.007    0.000 axes.py:566(get_xaxis_transform)
       29    0.001    0.000    0.007    0.000 common.py:63(factorial)
     4346    0.006    0.000    0.007    0.000 sre_parse.py:182(__next)
   184/80    0.000    0.000    0.007    0.000 axes.py:643(get_yaxis_transform)
       26    0.000    0.000    0.007    0.000 backend_agg.py:184(get_text_width_height_descent)
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
       61    0.002    0.000    0.007    0.000 lines.py:387(recache)
 1101/414    0.006    0.000    0.007    0.000 sre_parse.py:140(getwidth)
       10    0.000    0.000    0.006    0.001 axis.py:1159(_copy_tick_props)
        1    0.001    0.001    0.006    0.006 dates.py:109(<module>)
        1    0.000    0.000    0.006    0.006 contour.py:1310(_check_xyz)
        1    0.003    0.003    0.006    0.006 subprocess.py:389(<module>)
       11    0.000    0.000    0.006    0.001 artist.py:788(__init__)
        1    0.001    0.001    0.006    0.006 lines.py:4(<module>)
        7    0.000    0.000    0.006    0.001 core.py:2626(__new__)
       11    0.003    0.000    0.006    0.001 artist.py:805(get_aliases)
        5    0.000    0.000    0.006    0.001 core.py:6878(asarray)
       30    0.000    0.000    0.006    0.000 lines.py:911(update_from)
        1    0.001    0.001    0.006    0.006 __init__.py:45(<module>)
        1    0.004    0.004    0.006    0.006 polynomial.py:54(<module>)
        6    0.000    0.000    0.006    0.001 string.py:148(substitute)
      251    0.002    0.000    0.006    0.000 transforms.py:100(invalidate)
       38    0.000    0.000    0.006    0.000 pkg_resources.py:1892(normalize_path)
        1    0.000    0.000    0.006    0.006 codata.py:23(<module>)
       11    0.003    0.000    0.006    0.001 artist.py:857(_get_setters_and_targets)
      398    0.001    0.000    0.006    0.000 artist.py:830(get_valid_values)
        1    0.004    0.004    0.006    0.006 legendre.py:83(<module>)
       36    0.000    0.000    0.006    0.000 artist.py:467(set_clip_path)
       39    0.001    0.000    0.006    0.000 backend_agg.py:235(_get_agg_font)
        1    0.003    0.003    0.006    0.006 __init__.py:521(<module>)
        1    0.000    0.000    0.005    0.005 warnings.py:24(_show_warning)
        1    0.000    0.000    0.005    0.005 warnings.py:36(formatwarning)
        1    0.000    0.000    0.005    0.005 linecache.py:13(getline)
